"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS4Y1",2804.97417591172,-6.12758416661148,0.350783321755594,-17.4682882183345,2.49879958163608e-68,5.04082839603446e-64
"PRKY",367.674186264573,-5.79384864513691,0.3488008945848,-16.6107619994315,5.82485733143078e-62,5.87524234734766e-58
"KDM5D",712.93332399622,-6.05096877586809,0.375855771756914,-16.099177478593,2.58518318761597e-58,1.7383633481259e-54
"DDX3Y",311.809804223898,-5.77507345193228,0.387574323833568,-14.9005573816397,3.26841511306642e-50,1.64834345189722e-46
"UTY",226.107463244026,-6.06573081357767,0.408203421979221,-14.8595785507316,6.03033516688292e-50,2.43299902643058e-46
"EIF1AY",282.338201646168,-5.76224941732314,0.4234458606891,-13.6079956194302,3.58953778365184e-42,1.20686242849348e-38
"USP9Y",124.631825383114,-5.64071171043061,0.417590892130067,-13.5077460182577,1.40765524862959e-41,4.05666133294352e-38
"TXLNGY",150.116206040162,-5.92493386923636,0.443599256158192,-13.3565009115423,1.08547947590356e-40,2.73717218342533e-37
"TTTY15",27.5852093509213,-5.89454365465484,0.46208346798398,-12.7564478347864,2.86992516769109e-37,6.43277782309248e-34
"BCORP1",43.7657451920412,-5.58382570253566,0.44644317628403,-12.5073603969325,6.8048068358296e-36,1.37273368299191e-32
"ZFY",35.2945628166851,-5.64818665020311,0.451977109065234,-12.4966210388056,7.78922183177421e-36,1.42847247283983e-32
"TTTY14",9.75245757351535,-5.48565912578443,0.445093250047179,-12.3247412204138,6.665712035094e-35,1.12056174069959e-31
"TMSB4Y",21.0186747051564,-1.95239526746937,0.162154170065517,-12.0403642205472,2.17991062335464e-33,3.38271823114871e-30
"RPS4Y2",5.45241568180959,-4.84110425027704,0.424894899835824,-11.3936511173648,4.49741152299563e-30,6.48044876095648e-27
"LINC00278",4.69193333157544,-4.91400133423429,0.436199516353329,-11.265490102593,1.94268030217245e-29,2.61264598238165e-26
"TTTY10",2.99391937614482,-4.2615997615657,0.411320274660873,-10.360782154683,3.73891970886482e-25,4.71407670543313e-22
"RPS9",121.594868238628,-2.09713173848721,0.21811118435662,-9.61496653494999,6.91318270655794e-22,8.20350792584667e-19
"NLGN4Y",1.97247748627478,-3.64477522605594,0.388642836753091,-9.37821279945914,6.71004158881555e-21,7.5200927206209e-18
"GPR15",186.697803645469,1.04496353027533,0.132058793405642,7.91286595407192,2.51530143692579e-15,2.67058820458442e-12
"CTSG",165.328601072243,-1.10492555299284,0.152286050324999,-7.25559268649214,3.99906818798292e-13,4.03366012780897e-10
"ZFY-AS1",0.989453130749358,-2.77492210979046,0.387956853870426,-7.15265649287191,8.51144096314643e-13,8.17625231188347e-10
"NYX",1.58678425599565,1.3322214885835,0.191362485386664,6.96176936608888,3.36025307073784e-12,3.08119932709066e-09
"DEFA4",467.086936419067,-1.12632715727433,0.164103682850226,-6.86350932356777,6.71891372712664e-12,5.64752694238857e-09
"TMEM51-AS1",1.45085807058321,1.06013440647813,0.182116251143473,5.82119607570301,5.84279750297639e-09,3.57171981901644e-06
"RMRP",239.540144058294,-1.14822218912213,0.199210283447982,-5.76387006357506,8.22067142066616e-09,4.73816013054567e-06
"RGS13",1.02213559096776,1.23785946102418,0.226337917990417,5.46907682112985,4.52385655373455e-08,2.1763229451658e-05
"SOWAHB",0.60165698264907,1.75045635087032,0.323228412779401,5.41553985250976,6.110405973525e-08,2.86663301637023e-05
"DEFA8P",5.95621706638483,-1.19752098809984,0.225633561488612,-5.30737085475768,1.1121775125768e-07,4.98576821360263e-05
"TRPC5OS",0.861688330771763,1.1777732778354,0.228160053247427,5.16204857542774,2.44261882646183e-07,0.000100561121604519
"TUSC3",3.13340204867746,1.22552354257409,0.241315631230804,5.07850874111817,3.80408933224701e-07,0.000142110914998924
"C5orf47",1.24072340643587,1.05961127130008,0.216311754993719,4.89853762839123,9.65525503061381e-07,0.000304336655832144
"MUC3A",2.99012737121837,1.12896029953901,0.231624368675149,4.87409984535075,1.09305700177205e-06,0.000334094528738599
"SYT5",3.60747207486047,1.07552152570621,0.229995219788707,4.67627773609501,2.92128900614452e-06,0.000641522160407749
"LINC00599",4.06607989841046,2.1208827931858,0.464510083041141,4.56584877404686,4.97477317599999e-06,0.000929223141476369
"FMOD",2.1207506507458,1.37324142773653,0.316335227773668,4.34109548089617,1.41774094703668e-05,0.0020000061625574
"GABRB2",1.18699216011736,1.14120775290676,0.263582336840255,4.32960632562567,1.49376135480553e-05,0.00208047617749638
"CBLC",0.836916776529302,1.04953511832956,0.249680441621885,4.2035135452018,2.62803417702098e-05,0.00274690846906964
"GPC6",0.668216054909844,1.33490018952509,0.320947011588289,4.15925414889825,3.19288479476284e-05,0.00314195438852443
"PCSK9",1.01845343371844,1.34568848489352,0.329828862549477,4.07995975395167,4.50434987034339e-05,0.00394287839665146
"BPIFC",0.825227761371499,1.01379599268601,0.252866436633516,4.00921532403814,6.09208469907137e-05,0.0049598287836932
"ADAMTS12",0.98439964826259,1.09355938369427,0.275875777354823,3.96395578538874,7.37179119578149e-05,0.00566672217830562
"C5orf17",5.02616659566114,-1.06316436092766,0.276280439666609,-3.84813475109058,0.000119020584068363,0.00757036691290186
"B3GALT5",0.742660331991716,1.62113362796556,0.434497234449867,3.73105626326514,0.00019067862935187,0.0101837361169261
"MAGEB2",0.525469341407208,1.18473173679939,0.322879727223339,3.66926640761157,0.000243247488376339,0.0118527332923089
"TACC2",0.9845422047334,1.13978731259372,0.312159749176868,3.65129493984802,0.000260921385757881,0.0123268550700087
"FREM2",0.772352634981003,1.27506598234546,0.360592418355062,3.53603103515601,0.000406186972025305,0.0161559368952378
"CLDN19",0.447106816206924,1.05369308027527,0.307313200412703,3.4287270408828,0.000606419085186181,0.0201386198127405
"LINC02527",1.44810450716378,1.12799429477838,0.331357704116582,3.40415895198718,0.000663681205574445,0.0214215055360852
"SCARA3",0.5513577114039,1.10490070337107,0.325328593771096,3.39626065622895,0.000683132721988861,0.021765996877658
"PPP2R2C",0.765197984580066,1.14891929642557,0.338548520933848,3.39366213521301,0.000689647205246568,0.0218402716977065
"DPYSL5",0.552908102706923,1.24925811883444,0.377091897209394,3.31287446927225,0.000923424160170589,0.0257296071590073
"MMP16",0.687199918559397,1.02326432250462,0.313345081570678,3.26561475730013,0.00109226737326981,0.0282855602344925
"PI15",0.597567015546286,1.17562808687012,0.364217148001515,3.22782190053619,0.00124736608983898,0.03076175566054
"RNA28SN5",13.8524954176217,-1.27479375300898,0.399182036338792,-3.1935148302291,0.00140552117983215,0.0327030896894509
